dst	src
400242	400581
400380	300042
400207	400347
400869	400391
401964	400541
300023	401669
300073	300209
400986	400637
400830	400333
400341	400359
400141	401876
400999	400996
400545	400745
400643	400467
401576	400540
400771	300041
401922	400545
400586	400399
401693	400630
400256	300024
400158	400390
400698	400361
400987	300068
400195	400257
401602	400084
300101	300020
300017	400589
400329	401864
400621	400642
400321	400343
400478	401877
400110	400279
400772	400148
400195	400996
401964	400142
400258	300041
400079	401563
400780	400257
400844	400226
400456	401000
401704	400357
400470	400885
400473	401969
400628	300044
401559	400199
401924	400892
400531	400481
400413	400446
400896	400992
401868	401001
400405	401569
300039	300064
401174	400371
401723	400099
400367	300076
400704	400440
401973	400271
400778	400324
401734	400700
400890	300068
300131	400467
400900	400630
400264	400347
400639	400981
400582	300087
300075	300224
401217	300048
300015	400211
400346	400638
400983	400771
300071	401921
401653	401607
400332	401560
401218	400281
300031	300117
400006	400901
400413	400468
401600	400464
401597	400456
400633	300018
400388	400148
300072	400375
400126	300049
400241	400642
300072	300206
400013	400002
400055	400012
300104	401563
400575	300024
402001	400638
401598	400456
401569	400399
300209	400996
300055	400084
400263	400701
400895	401598
300073	400454
400730	401615
400477	401697
401717	400446
400836	400357
400713	300023
401700	402121
400207	400146
400734	400628
400611	400779
401599	401564
300074	400441
400984	400234
400989	400964
400749	400406
400615	400079
400320	401875
401593	400197
400639	400838
400473	400538
300046	401970
400735	400700
300105	400835
300043	400992
401570	400237
402109	401922
401577	400195
300083	400871
400573	400204
300103	300070
400732	400995
400590	300030
400983	400272
400480	400392
401214	400700
400582	400348
400786	400100
400547	401562
400079	401606
401594	300068
400891	400141
401963	400609
400537	400468
400099	300033
401021	400901
300056	401466
400197	400687
400838	401624
401574	400466
300016	300235
400705	401527
400322	400644
401616	400588
400840	400148
400611	401616
401690	400742
400375	400703
400005	400199
400333	400262
300149	400008
400181	401578
401968	300209
400644	400526
401992	400830
400392	400446
300023	400638
300148	400951
400337	400637
300039	400079
401997	400006
401606	400446
401564	400901
400965	400739
400015	400406
400884	300040
400714	401972
400706	400271
400594	300048
400445	400399
400690	400284
400609	400887
300105	300064
300051	400318
400593	400079
402110	300055
300076	401689
400517	401614
400538	400996
400631	401877
300054	400984
400615	400594
400575	400284
402110	400624
400226	300060
400130	401616
400832	400992
400775	400258
400899	400885
300180	400333
400967	300224
300070	400587
400836	400258
400320	400903
400577	400996
401697	300089
401592	400999
400609	400872
400967	300125
400843	400995
400538	400999
300052	300206
400517	401609
400745	300141
400015	401001
300117	300069
400739	401975
401559	401994
400201	400362
300070	400883
300031	300053
401923	400638
401570	300076
400871	300125
300152	401669
400209	300126
400335	400903
300131	400586
400207	401218
400536	300141
400739	400109
401624	401560
400099	400335
400459	300001
401612	401570
400256	400700
400367	400179
400622	401606
300152	400399
400836	401976
401734	300004
401605	300026
300038	400700
300075	400446
400119	400483
400241	300232
401215	400040
400130	401964
400449	400881
401218	300086
300118	400710
400984	401722
400193	400688
400055	400903
300056	400582
400324	400441
402110	401964
400690	300053
400412	400337
400406	401560
400319	400194
400574	400109
400204	401566
400410	400995
400586	400489
401598	401654
400226	400356
401697	300048
400239	300021
300030	400743
400881	401562
400900	401574
400459	400224
401174	400210
401992	401999
401705	400412
400453	400375
400201	401596
401563	401466
400965	400837
400517	400541
400989	400196
400615	400732
401612	400750
401705	300079
401574	400984
300130	300065
401597	300127
400371	400705
401995	401971
400575	400335
300150	400701
400835	400146
300016	400887
300071	400903
300117	400483
400349	300153
400413	401565
400559	401722
300089	400374
400380	400638
401559	400335
401217	400637
400882	400593
401569	400508
400119	400698
400964	400371
400335	400608
401575	401874
400051	400140
400454	300009
400734	400586
400272	400234
400207	400445
300076	400707
401863	400731
400965	400594
400870	400125
400778	401614
400536	300091
400593	300060
300070	400371
400471	401704
401574	400335
300070	400202
401733	401921
401577	400713
401975	400371
400239	300148
400469	300122
400201	401976
401999	300127
400688	401607
400272	300230
400890	400640
400566	401874
401117	400014
300057	400984
400951	401037
300038	400014
400642	400284
400793	300053
400615	300070
400983	300076
300012	400565
400449	300117
400035	400540
400064	400581
300072	300209
401922	401553
400329	401868
300105	400194
300043	400330
401875	400399
300031	400901
400778	400743
401000	400446
400126	400883
401605	400996
400631	400703
401652	300038
300031	400372
400390	400871
401597	400843
401863	401606
300183	400630
401578	400272
400713	400705
401598	401101
400575	400891
400739	300228
400836	401868
400476	300183
400148	400586
401001	300125
400838	400735
300060	401466
401593	400999
400367	300036
300088	401527
400735	400468
400121	400373
401612	400787
401963	401562
400842	300022
300042	401877
300061	300235
400110	400228
401963	400357
400869	400640
300039	400110
402110	400007
401614	300083
401700	400890
401690	400441
300206	401607
400620	400706
400995	401624
400786	300009
400033	401971
400611	300232
401966	300117
401614	300228
400891	400238
401923	401995
400830	400748
400730	300065
401574	400991
400771	400226
401967	401565
401553	400318
400472	400782
401722	400889
300015	401873
400981	300228
300057	400584
400785	400834
400540	400259
400538	400640
400055	401964
400593	400889
400378	300235
401174	300118
400388	300029
401863	401573
300031	400870
400517	400997
300103	400869
300076	400207
400642	400196
401963	400993
401218	400481
400525	401689
401117	400881
400882	400896
300042	400990
401973	400638
300038	400211
400013	400990
400071	300001
401000	400483
300037	400646
400772	401578
401594	400331
400071	401577
400882	400193
401577	400742
400688	300127
300103	300227
300053	300086
400388	400319
401574	400998
400181	401996
401691	401001
400892	401101
400774	300012
400241	300021
401923	400081
300074	400142
400588	300004
400227	401922
400869	300032
400773	400870
300070	400362
401559	300047
400984	400705
300074	300060
400644	401874
400736	401576
401564	400434
400558	300045
300075	400318
400743	400335
400832	400588
400478	401563
401705	300044
400071	400322
400900	401964
300117	400109
300010	300104
400378	401607
401100	300230
300078	401525
400836	400516
401000	401609
300148	300045
300036	400224
400832	300022
400051	400158
400453	400226
400538	400406
400367	300085
400573	400744
401611	300183
300019	400411
400449	401553
400886	400343
300051	300043
401691	400194
400227	400997
400559	300046
401600	400235
402110	300068
300072	400445
402110	401689
400981	400832
300130	401562
400628	300104
401578	400237
401608	400705
401700	300070
400771	401596
300062	400279
300061	400012
300153	400748
400466	400125
300180	400258
400736	401558
400892	400647
401614	400743
401968	400380
400773	400469
300089	300021
400967	300019
401001	400146
400714	300001
400875	400585
401559	400362
400306	400584
400967	400852
400581	401607
400473	300060
400771	401925
300180	400306
401576	401925
400998	300061
401600	400388
400969	401996
400842	400836
300059	400846
400261	400330
401216	400318
401572	400409
300054	300073
300153	400786
400264	300043
400285	400193
400880	401999
300037	300078
400838	400896
400880	400845
400869	400624
401595	300023
400264	401574
300073	300055
300016	400126
300118	400995
400007	400705
401652	400319
400837	400468
300016	400468
300115	401973
401691	401874
400207	402006
400055	300068
400181	400008
300039	400441
300073	400752
400699	400330
401593	400108
400710	400565
400071	400035
401214	400780
400335	300100
400896	400199
400965	401101
401976	400747
400375	400232
400008	300005
401925	400852
401216	400700
300029	400748
400517	400778
400055	400344
400416	401963
401217	300021
400158	400273
401571	400228
400264	300088
400079	400990
402001	400987
400836	401691
400966	400445
400884	400148
400412	400193
400264	401214
401572	400783
400981	400994
400156	400836
400643	400318
400586	401596
400829	401563
400601	300024
400690	300153
400743	400211
400477	400483
401604	400319
400408	401612
400869	401872
400135	300055
400372	400567
400227	400621
400642	300259
400690	401564
400981	400742
401597	400999
300005	400193
400966	401563
400239	401972
400593	400785
400260	400597
300075	400258
400895	400343
401992	400780
400361	300123
400558	400346
401864	400735
400845	400148
401924	400647
300105	400286
300018	400226
400609	400391
400227	400775
300053	401558
400830	400241
400986	400890
401721	400829
400264	400575
400412	300088
400367	400590
401863	401876
400559	300089
400640	400852
400340	400146
400894	400235
400228	300141
400987	400409
400475	400040
400146	400273
401967	400141
401868	400440
400242	400143
300014	400354
401218	400355
400628	300100
400408	400750
400846	400883
401968	401565
400113	300117
400891	300044
400582	401963
400391	300093
300068	300026
400449	400357
400365	401974
400130	400640
300016	400355
400470	401000
400453	400984
300014	400256
400388	400441
400636	300126
400440	401689
400842	300209
401992	400586
300010	300044
400121	300126
400902	400786
300039	400181
400628	400646
400545	400337
400993	401624
400566	300024
400365	300065
300032	400567
401989	401593
400730	401218
400869	400263
400348	300045
400620	400583
400714	400141
401722	401596
400455	400608
400869	300047
400869	400540
400615	300152
401700	400035
400771	400589
401697	300230
400100	400581
300131	401995
400639	400585
300079	400440
400573	400449
300180	400590
400441	400901
400201	400647
400842	300125
300235	400392
401598	400511
400193	400637
400306	401000
400472	400333
300049	401877
400886	400477
401592	401669
402122	300122
401597	400331
400207	400872
300013	401969
300194	300071
300152	400224
300036	300045
400482	400618
400412	401101
400710	401990
400135	300227
300068	400992
400241	400991
300064	300235
400306	400567
400752	400649
400108	400749
400109	400196
400456	400776
300088	400081
300206	400597
400901	300230
400408	401525
300005	300106
300117	300023
400900	400367
401615	400642
300049	400834
402001	300122
400708	300025
300015	401560
401690	401973
400618	401021
400844	401876
400710	401560
400740	400468
400324	400984
400470	300123
400279	400232
400320	300235
400349	400207
400033	300152
401877	400332
400318	400638
400357	401669
400100	400483
400646	400620
401117	401563
400540	400704
401600	401533
401592	400885
401921	401689
300075	401575
400870	400378
400455	300053
400320	300005
401721	400611
300083	401607
400640	300123
400007	400883
300019	400256
400460	401560
400126	401975
400618	400609
400574	401597
400459	400999
400526	400783
401572	400894
400736	300106
400771	400735
400575	400392
300005	400620
400536	401997
400482	400341
400699	400156
400774	300028
400071	400597
300031	401995
400963	400127
400587	401527
400574	401700
400391	400259
300057	400391
300208	400785
401968	401697
400880	400355
300046	400232
401697	300127
400869	401569
401993	400181
402110	400772
300027	300060
400774	401558
400008	400787
400475	300106
300074	400901
400362	400079
401652	300206
401968	400441
401922	400881
401973	300091
300023	401567
300086	400703
401615	400224
400469	400355
400708	400990
300043	401596
401597	300021
300075	400086
401533	400951
400470	400158
300059	401997
400844	400703
400422	400889
400689	300121
400537	300049
401604	300009
400590	400324
400367	401594
400775	400586
401000	300209
300235	400584
401616	400273
401612	400413
400210	401874
400013	400324
400774	400478
400202	401596
300032	400193
400891	400643
400840	300057
400964	400237
401967	300020
401611	300016
300014	400852
300071	400597
400558	400337
401989	400416
400836	400405
401691	400464
400842	300057
400119	400590
400256	400881
401693	400870
300054	400896
400880	300074
401991	400887
400372	400749
400033	300105
400636	400772
400099	400778
400454	401990
400880	400643
300152	300069
400900	300010
401571	400609
400837	300022
400847	400540
300126	400704
400640	400740
400127	400783
400584	400881
400515	400075
400099	400281
400179	400380
400511	300057
400582	400258
400644	400992
400015	400469
400329	401700
400179	400234
300044	300106
400837	400197
401922	300235
400476	300072
400699	300122
400899	300131
400892	400378
400475	401560
400405	400688
300087	401567
300100	400901
300103	401566
400633	400583
400459	300048
400989	400992
400365	400565
401690	400271
400526	401874
400125	300084
400734	400775
400055	401607
400099	401599
400156	401001
300025	400567
401723	400323
400643	400991
401611	400100
400281	400374
400335	400700
401000	400234
401997	300259
300022	400014
401868	400744
400071	400373
401174	400983
400413	300104
400071	401594
400343	400845
401604	401037
300209	400259
300122	400234
402122	400631
400886	400194
401174	400990
300018	300041
400256	400196
300046	300141
400885	400581
400870	401873
400969	400642
400445	401569
400636	300118
400110	400446
401999	300084
300040	401976
400698	300224
400951	401609
400100	400525
400558	300118
400587	401560
300061	300027
400794	400355
300069	400642
400476	300057
300071	401700
400113	300122
401174	400475
400645	400468
400900	400365
401997	400649
401598	400648
400348	400845
401604	400590
400319	401596
400586	401608
400644	400601
300055	400243
400836	401563
401214	300131
400963	401574
400476	400779
300117	300209
400708	400894
402001	400996
400135	300026
300228	400713
400836	400835
400690	400736
400998	400788
400263	300049
400594	400204
300023	400373
401571	401000
300104	401624
400341	300009
401217	400007
300228	300127
400335	400012
400618	401037
400006	400541
400476	400459
400869	401717
400006	400996
400473	400735
400749	400483
300026	401037
401597	400869
400378	401525
400422	400014
401559	400837
400422	400257
400969	400706
400896	400467
400228	400508
400472	400840
300101	401218
401101	400434
401558	400567
400963	402110
400332	401977
300224	400631
300078	401576
400237	402121
400156	400135
400033	400595
400235	400587
400472	400331
400963	400243
300065	401971
400998	300026
300016	401990
300152	400732
400158	401101
400243	400749
401218	401973
300130	401037
400639	400388
300043	400193
400195	402121
400601	400483
300079	400181
400143	400409
400002	400212
401572	300100
400989	400778
400372	400064
400002	400583
400995	400588
401921	400262
400647	300125
400643	401734
400986	300141
400517	400378
400597	400748
400964	400481
400951	400232
400212	401876
400285	400705
400412	400223
300115	400785
300061	300028
300152	400541
400515	300004
400380	400630
400699	400489
400899	401575
400899	400835
401997	400871
400477	400143
400773	400844
400197	400006
400536	300052
400648	400992
300073	400772
300048	400785
401571	401569
400894	400786
401600	400688
400900	401593
401921	400466
402121	400701
400780	400141
400127	401689
400223	400526
400434	400399
300040	300041
300035	401991
300019	401217
400793	300046
400830	400207
300079	300049
401216	400204
400477	401572
300122	400262
400359	400193
400508	300093
400708	400647
401691	400008
400531	400735
401868	401925
400511	400621
300093	400211
401571	400951
400207	400714
400793	400516
400386	400481
400410	300088
401970	400872
400531	300100
400536	400577
400323	400142
401575	400525
400531	400471
400547	400195
400057	400704
401218	401572
401691	400007
401996	401562
401597	300069
400793	401653
400459	300104
400628	300045
400608	400620
400609	400273
400489	300125
400329	400776
400547	400330
400689	400870
300071	400740
400482	401575
400453	400843
400687	400996
400033	300052
300033	401592
400354	400585
402001	401924
401574	401924
401690	401595
401598	400994
300150	400143
400743	401690
400349	400567
401573	400638
401593	400701
401575	400460
400566	300083
400412	401218
300206	400705
300057	400703
401563	400271
400009	400782
400594	401864
400179	400210
401574	401717
401604	401593
400057	400243
400643	400441
300012	400583
401174	400012
300019	401614
400708	300232
401553	401697
400374	400007
400227	401605
401575	400728
400595	400211
300017	400235
300078	400356
400201	400597
400460	300089
400703	401037
400125	400525
300083	400391
300131	400406
300122	401975
300017	400998
401611	401994
400033	400882
400286	300020
400472	401967
400372	300027
400772	300093
401602	400734
300071	400441
300150	400473
400739	400002
401615	400412
400531	300062
400257	400701
400577	300064
400895	400413
400109	400197
400750	401614
402122	400843
401862	300009
400611	402006
400829	400707
400608	300027
400884	400708
401717	400620
401697	400621
400590	400881
401616	400566
401733	400100
401572	401567
400888	400749
400895	300055
400559	402121
400081	401525
401723	400772
400015	300024
400590	400595
300009	400212
401992	400526
400618	400776
400482	400742
400773	300065
400771	400146
400367	400869
401570	400991
300150	300070
400119	300055
300041	401704
400321	400391
400156	400084
402110	400260
400631	401971
400100	400871
400794	400212
401559	401974
400886	300004
300019	401559
400846	401576
300004	401971
400830	400378
400699	300041
400454	400337
400622	300209
300036	400834
400411	400587
400794	300029
400413	400142
400441	400586
401602	400649
300051	400483
300032	400143
400346	300032
